timestamp,ax,ay,az,vibration,rms
106057,0.0488,0.0010,0.9087,0.0009,0.9103
106077,0.0488,-0.0029,0.9126,0.0013,0.9114
106097,0.0493,-0.0012,0.9109,0.0003,0.9116
106117,0.0518,0.0007,0.9080,0.0012,0.9110
106137,0.0520,-0.0042,0.9033,0.0022,0.9091
106157,0.0496,0.0000,0.9072,0.0007,0.9090
106177,0.0522,0.0000,0.9136,0.0019,0.9108
106197,0.0508,0.0020,0.9072,0.0011,0.9101
106217,0.0532,-0.0034,0.9084,0.0012,0.9101
106237,0.0454,0.0017,0.9082,0.0020,0.9099
106257,0.0498,-0.0002,0.9075,0.0003,0.9096
106277,0.0500,-0.0005,0.9070,0.0004,0.9092
106297,0.0505,0.0000,0.9080,0.0002,0.9092
106317,0.0498,0.0029,0.9109,0.0013,0.9101
106337,0.0464,-0.0007,0.9121,0.0015,0.9111
106357,0.0518,-0.0007,0.9080,0.0011,0.9106
106377,0.0508,-0.0022,0.9087,0.0007,0.9104
106397,0.0469,-0.0002,0.9158,0.0022,0.9124
106417,0.0522,-0.0002,0.9053,0.0020,0.9107
106437,0.0530,-0.0017,0.9111,0.0011,0.9113
106457,0.0532,-0.0034,0.9087,0.0011,0.9110
106477,0.0486,0.0005,0.9131,0.0015,0.9120
106497,0.0483,0.0012,0.9033,0.0024,0.9098
106517,0.0469,0.0010,0.9116,0.0014,0.9107
106537,0.0508,-0.0007,0.9094,0.0006,0.9107
106557,0.0498,-0.0044,0.9124,0.0015,0.9116
106577,0.0464,0.0010,0.9136,0.0016,0.9126
106597,0.0508,-0.0037,0.9072,0.0016,0.9114
106617,0.0481,-0.0044,0.9136,0.0014,0.9124
106637,0.0496,0.0017,0.9067,0.0018,0.9111
106657,0.0515,-0.0005,0.9048,0.0017,0.9097
106677,0.0520,-0.0005,0.9082,0.0007,0.9097
106697,0.0508,-0.0024,0.9084,0.0005,0.9097
106717,0.0479,0.0010,0.9070,0.0011,0.9093
106737,0.0491,0.0002,0.9065,0.0005,0.9088
106757,0.0525,-0.0002,0.9058,0.0010,0.9084
106777,0.0469,0.0005,0.9070,0.0011,0.9083
106797,0.0520,0.0015,0.9104,0.0014,0.9094
106817,0.0474,-0.0024,0.9094,0.0013,0.9098
106837,0.0493,-0.0022,0.9055,0.0010,0.9089
106857,0.0427,-0.0027,0.9104,0.0022,0.9096
106877,0.0500,0.0022,0.9041,0.0019,0.9084
106897,0.0498,-0.0002,0.9106,0.0012,0.9095
106917,0.0476,0.0022,0.9111,0.0012,0.9103
106937,0.0513,-0.0034,0.9094,0.0015,0.9105
106957,0.0493,-0.0024,0.9036,0.0018,0.9088
106977,0.0505,-0.0027,0.9067,0.0006,0.9086
106997,0.0503,-0.0029,0.9116,0.0014,0.9099
107017,0.0503,-0.0012,0.9099,0.0005,0.9103
107037,0.0493,-0.0005,0.9106,0.0007,0.9108
107057,0.0454,-0.0010,0.9128,0.0017,0.9118
107077,0.0508,0.0005,0.9111,0.0009,0.9120
107097,0.0505,0.0012,0.9104,0.0007,0.9119
107117,0.0505,0.0007,0.9119,0.0005,0.9123
107137,0.0535,-0.0012,0.9109,0.0012,0.9124
107157,0.0503,-0.0010,0.9128,0.0006,0.9129
107177,0.0491,-0.0029,0.9099,0.0010,0.9124
107197,0.0544,-0.0002,0.9121,0.0013,0.9128
107217,0.0488,-0.0037,0.9126,0.0012,0.9131
107237,0.0537,0.0027,0.9094,0.0018,0.9125
107257,0.0503,-0.0027,0.9070,0.0014,0.9113
107277,0.0496,-0.0063,0.9087,0.0017,0.9109
107297,0.0508,-0.0020,0.9019,0.0023,0.9086
107317,0.0505,-0.0037,0.9111,0.0012,0.9098
107337,0.0493,-0.0015,0.9094,0.0007,0.9101
107357,0.0503,0.0034,0.9104,0.0018,0.9106
107377,0.0535,-0.0012,0.9077,0.0011,0.9102
107397,0.0483,-0.0012,0.9080,0.0009,0.9099
107417,0.0493,0.0046,0.9067,0.0018,0.9094
107437,0.0510,-0.0027,0.9080,0.0011,0.9094
107457,0.0510,-0.0020,0.9109,0.0010,0.9103
107477,0.0500,-0.0012,0.9038,0.0015,0.9087
107497,0.0491,-0.0020,0.9138,0.0020,0.9107
107517,0.0483,0.0002,0.9148,0.0018,0.9123
107537,0.0500,-0.0027,0.9097,0.0007,0.9119
107557,0.0505,-0.0005,0.9070,0.0011,0.9109
107577,0.0496,-0.0002,0.9109,0.0005,0.9113
107597,0.0527,0.0022,0.9089,0.0013,0.9110
107617,0.0469,-0.0012,0.9097,0.0012,0.9110
107637,0.0522,0.0002,0.9106,0.0009,0.9113
107657,0.0505,-0.0015,0.9116,0.0006,0.9118
107677,0.0486,0.0042,0.9070,0.0018,0.9108
107697,0.0540,0.0010,0.9080,0.0013,0.9104
107717,0.0493,0.0002,0.9146,0.0018,0.9120
107737,0.0518,0.0010,0.9121,0.0006,0.9125
107757,0.0493,-0.0032,0.9087,0.0015,0.9118
107777,0.0532,-0.0007,0.9036,0.0022,0.9098
107797,0.0488,-0.0068,0.9084,0.0020,0.9098
107817,0.0457,-0.0012,0.9077,0.0015,0.9095
107837,0.0527,0.0010,0.9089,0.0014,0.9098
107857,0.0500,-0.0037,0.9087,0.0008,0.9099
107877,0.0525,0.0010,0.9070,0.0012,0.9095
107897,0.0481,0.0010,0.9097,0.0011,0.9099
107917,0.0549,-0.0022,0.9084,0.0016,0.9100
107937,0.0488,0.0015,0.9114,0.0014,0.9108
107957,0.0488,-0.0005,0.9109,0.0007,0.9112
107977,0.0510,-0.0032,0.9126,0.0012,0.9120
107997,0.0513,-0.0002,0.9148,0.0013,0.9133
108017,0.0493,-0.0020,0.9141,0.0008,0.9139
108037,0.0500,-0.0051,0.9104,0.0013,0.9133
108057,0.0508,-0.0034,0.9109,0.0005,0.9130
108077,0.0491,-0.0015,0.9050,0.0020,0.9110
108097,0.0508,0.0034,0.9094,0.0017,0.9110
108117,0.0520,0.0010,0.9094,0.0007,0.9109
108137,0.0479,0.0007,0.9114,0.0011,0.9114
108157,0.0508,-0.0022,0.9067,0.0013,0.9105
108177,0.0520,0.0024,0.9133,0.0017,0.9118
108197,0.0486,0.0017,0.9106,0.0008,0.9118
108217,0.0564,0.0017,0.9063,0.0023,0.9107
108237,0.0503,-0.0012,0.9124,0.0013,0.9116
108257,0.0491,0.0010,0.9111,0.0008,0.9118
108277,0.0513,0.0032,0.9146,0.0015,0.9131
108297,0.0469,0.0027,0.9136,0.0014,0.9136
108317,0.0491,-0.0002,0.9136,0.0007,0.9140
108337,0.0510,-0.0022,0.9080,0.0018,0.9126
108357,0.0508,0.0032,0.9089,0.0012,0.9119
108377,0.0503,-0.0017,0.9067,0.0014,0.9108
108397,0.0515,-0.0034,0.9087,0.0012,0.9106
108417,0.0493,0.0017,0.9160,0.0022,0.9126
108437,0.0500,0.0010,0.9089,0.0008,0.9119
108457,0.0486,0.0000,0.9075,0.0010,0.9110
108477,0.0500,0.0012,0.9019,0.0024,0.9087
108497,0.0518,0.0002,0.9070,0.0006,0.9086
108517,0.0471,-0.0015,0.9063,0.0012,0.9083
108537,0.0498,-0.0022,0.9043,0.0010,0.9075
108557,0.0510,0.0024,0.9050,0.0011,0.9072
108577,0.0483,-0.0022,0.9138,0.0026,0.9096
108597,0.0469,0.0022,0.9065,0.0012,0.9090
108617,0.0513,0.0029,0.9075,0.0011,0.9090
108637,0.0500,0.0024,0.9121,0.0014,0.9103
108657,0.0510,0.0002,0.9133,0.0014,0.9117
108677,0.0486,0.0002,0.9060,0.0014,0.9104
108697,0.0493,-0.0012,0.9128,0.0013,0.9115
108717,0.0476,-0.0005,0.9131,0.0011,0.9123
108737,0.0515,-0.0022,0.9063,0.0018,0.9110
108757,0.0513,-0.0024,0.9121,0.0010,0.9117
108777,0.0503,0.0020,0.9143,0.0015,0.9129
108797,0.0469,-0.0012,0.9080,0.0015,0.9118
108817,0.0513,0.0032,0.9094,0.0013,0.9115
108837,0.0476,-0.0024,0.9058,0.0017,0.9102
108857,0.0491,-0.0007,0.9041,0.0014,0.9087
108877,0.0505,-0.0012,0.9104,0.0010,0.9097
108897,0.0500,-0.0015,0.9063,0.0007,0.9090
108917,0.0505,0.0022,0.9131,0.0019,0.9107
108937,0.0510,-0.0015,0.9055,0.0013,0.9096
108957,0.0508,-0.0029,0.9080,0.0008,0.9095
108977,0.0522,-0.0034,0.9114,0.0013,0.9105
108997,0.0479,-0.0029,0.9106,0.0011,0.9109
109017,0.0510,0.0000,0.9094,0.0007,0.9109
109037,0.0527,-0.0010,0.9102,0.0008,0.9111
109057,0.0486,-0.0005,0.9077,0.0010,0.9105
109077,0.0476,0.0015,0.9063,0.0014,0.9096
109097,0.0488,-0.0002,0.9065,0.0006,0.9091
109117,0.0479,-0.0034,0.9063,0.0011,0.9086
109137,0.0510,0.0015,0.9041,0.0014,0.9077
109157,0.0471,-0.0010,0.9155,0.0029,0.9104
109177,0.0496,0.0005,0.9097,0.0004,0.9106
109197,0.0505,0.0007,0.9053,0.0013,0.9094
109217,0.0515,0.0005,0.9063,0.0008,0.9089
109237,0.0530,0.0022,0.9067,0.0011,0.9087
109257,0.0500,0.0005,0.9072,0.0003,0.9087
109277,0.0474,0.0007,0.9141,0.0023,0.9107
109297,0.0508,0.0024,0.9109,0.0008,0.9112
109317,0.0483,-0.0034,0.9084,0.0015,0.9107
109337,0.0522,0.0012,0.9087,0.0009,0.9106
109357,0.0464,0.0007,0.9109,0.0013,0.9110
109377,0.0486,0.0024,0.9133,0.0013,0.9121
109397,0.0481,-0.0012,0.9094,0.0008,0.9117
109417,0.0496,0.0017,0.9114,0.0006,0.9120
