timestamp,ax,ay,az,vibration,rms
58077,-2.0000,-2.0000,0.6726,1.0187,1.0376
58097,1.9999,0.5054,1.0613,0.7384,1.0468
58117,-2.0000,1.3164,0.7979,0.8343,1.0265
58137,1.9999,-2.0000,0.8042,0.9879,1.0268
58157,-0.2153,1.9999,0.7546,0.7338,0.9307
58177,0.5508,-2.0000,0.6433,0.7126,0.9146
58197,1.5063,1.9999,0.9778,0.7976,1.1264
58217,-2.0000,-2.0000,0.8291,1.0648,0.9213
58237,1.9999,1.9999,1.0745,0.9569,1.0971
58257,-2.0000,-2.0000,0.9314,1.0304,1.0127
58277,1.9999,1.9999,1.3245,0.9841,1.1766
58297,-2.0000,-2.0000,0.6738,1.0197,1.0387
58317,1.9999,0.2434,1.0295,0.7138,1.0499
58337,-2.0000,1.5830,0.8101,0.8910,1.0333
58357,1.9999,-2.0000,0.7947,0.9934,1.0169
58377,-0.1509,1.9999,0.7537,0.7241,0.9369
58397,0.5171,-2.0000,0.6462,0.7140,0.9112
58417,1.4944,1.9999,0.9756,0.7931,1.1265
58437,-2.0000,-2.0000,0.8401,1.0658,0.9217
58457,1.9999,1.9999,1.0608,0.9558,1.0957
58477,-2.0000,-2.0000,0.9243,1.0309,1.0085
58497,1.9999,1.9999,1.3254,0.9839,1.1748
58517,-2.0000,-2.0000,0.6892,1.0194,1.0410
58537,1.9999,0.6418,1.0874,0.7535,1.0545
58557,-2.0000,1.1077,0.7986,0.7989,1.0240
58577,1.9999,-2.0000,0.8105,0.9810,1.0419
58597,-0.3589,1.9999,0.7542,0.7519,0.9218
58617,0.7507,-2.0000,0.6265,0.7231,0.9282
58637,1.3989,1.9999,0.9619,0.7825,1.1131
58657,-2.0000,-2.0000,0.8364,1.0607,0.9230
58677,1.9999,1.9999,1.0684,0.9596,1.0908
58697,-2.0000,-2.0000,0.9248,1.0284,1.0109
58717,1.9999,1.9999,1.2842,0.9842,1.1618
58737,-2.0000,-2.0000,0.7190,1.0170,1.0424
58757,1.9999,1.3242,1.1577,0.8577,1.0827
58777,-2.0000,0.2563,0.7634,0.7206,1.0017
58797,1.9999,-2.0000,0.8298,0.9575,1.0815
58817,-0.8281,1.9999,0.7197,0.8262,0.8870
58837,1.3538,-2.0000,0.6362,0.7934,0.9763
58857,1.0864,1.9999,0.9260,0.7524,1.0759
58877,-1.3198,-2.0000,0.8210,0.9044,0.9091
58897,1.9999,1.9999,1.0764,0.9294,1.1447
58917,-2.0000,-2.0000,0.8425,1.0535,0.9698
58937,1.9999,1.9999,1.1821,0.9661,1.1400
58957,-2.0000,-2.0000,0.8162,1.0259,1.0266
58977,1.9999,1.9999,1.2927,0.9864,1.1699
58997,-2.0000,-1.7813,0.6504,0.9735,1.0127
59017,1.9999,-0.8784,0.9238,0.7143,1.1022
59037,-1.7944,1.9999,0.8677,0.9876,0.9830
59057,1.9999,-2.0000,0.7732,0.9643,1.0421
59077,0.2085,1.9999,0.8130,0.7254,0.9714
59097,0.1194,-2.0000,0.6575,0.7000,0.9226
59117,1.6228,1.9999,1.0088,0.8223,1.1461
59137,-2.0000,-2.0000,0.8250,1.0670,0.9312
59157,1.9999,1.9999,1.0933,0.9562,1.1099
59177,-2.0000,-2.0000,0.9292,1.0313,1.0196
59197,1.9999,1.9999,1.2786,0.9817,1.1702
59217,-2.0000,-2.0000,0.7107,1.0188,1.0431
59237,1.9999,1.7532,1.1797,0.9385,1.1162
59257,-2.0000,-0.3953,0.7305,0.7500,0.9832
59277,1.9999,-1.9194,0.8616,0.9193,1.1102
59297,-1.2429,1.9999,0.7852,0.8995,0.9074
59317,1.8113,-2.0000,0.7126,0.8856,1.0406
59337,0.6514,1.9999,0.8640,0.7332,1.0271
59357,-0.5305,-2.0000,0.7183,0.7580,0.9150
59377,1.8276,1.9999,1.0623,0.8711,1.1645
59397,-2.0000,-2.0000,0.8281,1.0671,0.9477
59417,1.9999,1.9999,1.1069,0.9565,1.1231
59437,-2.0000,-2.0000,0.9272,1.0312,1.0293
59457,1.9999,1.9999,1.3345,0.9834,1.1913
59477,-2.0000,-2.0000,0.6968,1.0199,1.0545
59497,1.9999,0.8689,1.0911,0.7821,1.0652
59517,-2.0000,0.5674,0.7810,0.7397,0.9986
59537,1.9999,-2.0000,0.8293,0.9561,1.0823
59557,-0.8293,1.9999,0.7219,0.8273,0.8864
59577,1.4094,-2.0000,0.6455,0.8012,0.9865
59597,0.9790,1.9999,0.9189,0.7434,1.0642
59617,-1.0461,-2.0000,0.8049,0.8504,0.9100
59637,1.9999,1.9999,1.0916,0.9173,1.1721
59657,-2.0000,-2.0000,0.8281,1.0643,0.9615
59677,1.9999,1.9999,1.1318,0.9583,1.1352
59697,-2.0000,-2.0000,0.8784,1.0301,1.0283
59717,1.9999,1.9999,1.3542,0.9850,1.1943
59737,-2.0000,-2.0000,0.6794,1.0200,1.0533
59757,1.9999,0.5923,1.0698,0.7471,1.0596
59777,-2.0000,0.7861,0.8015,0.7639,1.0013
59797,1.9999,-2.0000,0.8149,0.9582,1.0763
59817,-0.8408,1.9999,0.7280,0.8269,0.8868
59837,1.4917,-2.0000,0.6682,0.8156,1.0000
59857,0.8777,1.9999,0.9009,0.7350,1.0555
59877,-0.7695,-2.0000,0.7607,0.8036,0.9080
59897,1.8733,1.9999,1.0623,0.8807,1.1655
59917,-2.0000,-2.0000,0.8496,1.0671,0.9541
59937,1.9999,1.9999,1.0959,0.9557,1.1253
59957,-2.0000,-2.0000,0.9312,1.0314,1.0318
59977,1.9999,1.9999,1.3389,0.9833,1.1945
59997,-2.0000,-2.0000,0.7148,1.0195,1.0615
60017,1.9999,1.7751,1.1704,0.9423,1.1283
60037,-2.0000,-0.6506,0.7432,0.7748,0.9916
60057,1.9999,-1.5774,0.8779,0.8437,1.0977
60077,-1.5371,1.9999,0.8506,0.9370,0.9594
60097,1.9999,-2.0000,0.7529,0.9495,1.0539
60117,0.1458,1.9999,0.8274,0.7294,0.9735
60137,0.3906,-2.0000,0.6392,0.6965,0.9485
60157,1.4465,1.9999,0.9529,0.7853,1.1362
60177,-1.8501,-2.0000,0.8342,1.0358,0.9143
60197,1.9999,1.9999,1.0898,0.9461,1.1193
60217,-2.0000,-2.0000,0.8196,1.0397,0.9778
60237,1.9999,1.9999,1.1833,0.9748,1.1279
60257,-2.0000,-2.0000,0.8760,1.0186,1.0487
60277,1.9999,1.9999,1.3489,0.9920,1.1913
60297,-2.0000,-2.0000,0.6797,1.0146,1.0631
60317,1.9999,0.9907,1.0852,0.8054,1.0607
60337,-2.0000,0.1316,0.7354,0.7174,0.9767
60357,1.9999,-2.0000,0.8535,0.9374,1.1117
60377,-1.2961,1.9999,0.7664,0.9133,0.8939
60397,1.9919,-2.0000,0.7161,0.9222,1.0578
60417,0.3052,1.9999,0.8511,0.7371,0.9802
60437,0.2161,-2.0000,0.6365,0.6915,0.9446
60457,1.5134,1.9999,0.9658,0.7989,1.1411
60477,-1.9644,-2.0000,0.8328,1.0638,0.9148
60497,1.9999,1.9999,1.0808,0.9517,1.1057
60517,-2.0000,-2.0000,0.8376,1.0354,0.9823
60537,1.9999,1.9999,1.1729,0.9773,1.1222
60557,-2.0000,-2.0000,0.8696,1.0166,1.0474
60577,1.9999,1.9999,1.3357,0.9931,1.1840
60597,-2.0000,-2.0000,0.6953,1.0129,1.0642
60617,1.9999,1.0481,1.0938,0.8151,1.0635
60637,-2.0000,0.0178,0.7480,0.7164,0.9810
60657,1.9999,-1.9832,0.8516,0.9299,1.1196
60677,-1.3574,1.9999,0.8015,0.9257,0.9075
60697,1.9999,-2.0000,0.7261,0.9262,1.0643
60717,0.2107,1.9999,0.7971,0.7411,0.9567
60737,0.3464,-2.0000,0.6328,0.6872,0.9461
60757,1.4480,1.9999,0.9712,0.7900,1.1323
60777,-1.8015,-2.0000,0.8179,1.0248,0.9063
60797,1.9999,1.9999,1.0903,0.9442,1.1186
60817,-2.0000,-2.0000,0.8481,1.0416,0.9798
60837,1.9999,1.9999,1.1323,0.9722,1.1185
60857,-2.0000,-2.0000,0.9016,1.0193,1.0466
60877,1.9999,1.9999,1.3311,0.9908,1.1863
60897,-2.0000,-2.0000,0.7029,1.0141,1.0648
60917,1.9999,1.7026,1.1484,0.9316,1.1108
60937,-2.0000,-0.7700,0.7268,0.7824,0.9858
60957,1.9999,-1.3525,0.8872,0.8026,1.0781
60977,-1.7561,1.9999,0.8369,0.9701,0.9762
60997,1.9999,-2.0000,0.7585,0.9689,1.0243
61017,-0.1936,1.9999,0.7617,0.7415,0.9147
61037,0.9153,-2.0000,0.6152,0.7295,0.9534
61057,1.1709,1.9999,0.9316,0.7473,1.0977
61077,-1.1553,-2.0000,0.8013,0.8873,0.8941
61097,1.9595,1.9999,1.0674,0.9031,1.1619
61117,-2.0000,-2.0000,0.8364,1.0656,0.9516
61137,1.9999,1.9999,1.0806,0.9560,1.1188
61157,-2.0000,-2.0000,0.9583,1.0307,1.0358
61177,1.9999,1.9999,1.2900,0.9818,1.1836
61197,-2.0000,-2.0000,0.7483,1.0179,1.0634
61217,1.9999,1.9999,1.2573,0.9915,1.1713
61237,-2.0000,-2.0000,0.6519,1.0129,1.0459
61257,1.9999,-0.1345,0.9734,0.7013,1.0524
61277,-2.0000,1.2344,0.8208,0.8461,0.9820
61297,1.9999,-2.0000,0.8069,0.9577,1.0632
61317,-0.9148,1.9999,0.7065,0.8388,0.8662
61337,1.6777,-2.0000,0.6624,0.8503,1.0072
61357,0.5605,1.9999,0.9082,0.7262,1.0105
61377,-0.1301,-2.0000,0.6802,0.7199,0.9216
61397,1.6055,1.9999,0.9768,0.8150,1.1419
61417,-2.0000,-2.0000,0.8376,1.0711,0.9199
61437,1.9999,1.9999,1.0684,0.9535,1.1016
61457,-2.0000,-2.0000,0.8416,1.0334,0.9849
61477,1.9999,1.9999,1.1692,0.9783,1.1206
