timestamp,ax,ay,az,vibration,rms
6377,0.0337,-0.0864,0.9026,0.0505,0.8973
6397,0.1248,-0.1377,0.9053,0.0639,0.9001
6417,0.1863,-0.1660,0.9207,0.0643,0.9113
6437,0.2163,-0.1465,0.9268,0.0494,0.9240
6457,0.2063,-0.1121,0.9412,0.0292,0.9370
6477,0.1680,-0.0488,0.9202,0.0168,0.9365
6497,0.0825,0.0391,0.9189,0.0421,0.9304
6517,0.0085,0.1111,0.9172,0.0598,0.9240
6537,-0.0471,0.1558,0.8982,0.0632,0.9156
6557,-0.0999,0.1675,0.8955,0.0582,0.9115
6577,-0.1191,0.1316,0.8943,0.0404,0.9095
6597,-0.0835,0.0540,0.8862,0.0210,0.9036
6617,0.0867,-0.1238,0.9128,0.0744,0.9031
6637,0.1775,-0.1697,0.9138,0.0799,0.9081
6657,0.2078,-0.1550,0.9236,0.0600,0.9192
6677,0.2114,-0.1174,0.9421,0.0384,0.9337
6697,0.1775,-0.0513,0.9155,0.0174,0.9334
6717,0.0811,0.0449,0.9238,0.0408,0.9298
6737,0.0012,0.1230,0.9214,0.0613,0.9250
6757,-0.0645,0.1624,0.8950,0.0653,0.9157
6777,-0.1079,0.1704,0.8950,0.0571,0.9121
6797,-0.1089,0.1052,0.8972,0.0324,0.9101
6817,-0.0596,0.0085,0.8918,0.0271,0.9043
6837,0.0354,-0.0835,0.9045,0.0512,0.9023
6857,0.1453,-0.1462,0.9041,0.0707,0.9035
6877,0.2112,-0.1689,0.9167,0.0689,0.9134
6897,0.2275,-0.1406,0.9216,0.0480,0.9246
6917,0.1873,-0.0757,0.9192,0.0187,0.9292
6937,0.1018,0.0269,0.9202,0.0365,0.9266
6957,0.0054,0.1187,0.9143,0.0639,0.9200
6977,-0.0664,0.1660,0.8997,0.0697,0.9130
6997,-0.1145,0.1729,0.8916,0.0611,0.9090
7017,-0.0967,0.0908,0.8889,0.0288,0.9048
7037,-0.0327,-0.0225,0.8987,0.0330,0.9018
7057,0.0645,-0.1184,0.9150,0.0595,0.9043
7077,0.1736,-0.1624,0.9185,0.0725,0.9111
7097,0.2273,-0.1541,0.9199,0.0622,0.9212
7117,0.2166,-0.1082,0.9307,0.0355,0.9319
7137,0.1379,-0.0095,0.9204,0.0235,0.9309
7157,0.0295,0.0989,0.9155,0.0587,0.9237
7177,-0.1128,0.1775,0.8884,0.0877,0.9107
7197,-0.0959,0.0918,0.8870,0.0438,0.9041
7217,-0.0381,-0.0310,0.8960,0.0288,0.9010
7237,0.0698,-0.1208,0.9124,0.0518,0.9042
7257,0.1909,-0.1694,0.9182,0.0710,0.9127
7277,0.2322,-0.1523,0.9260,0.0571,0.9251
7297,0.2014,-0.0742,0.9207,0.0261,0.9304
7317,0.0898,0.0356,0.9255,0.0393,0.9285
7337,-0.0134,0.1379,0.8984,0.0700,0.9165
7357,-0.0986,0.1787,0.8984,0.0752,0.9107
7377,-0.1228,0.1375,0.9080,0.0514,0.9121
7397,-0.0676,0.0188,0.8835,0.0256,0.9036
7417,0.0364,-0.0937,0.8997,0.0514,0.9007
7437,0.1641,-0.1655,0.9146,0.0759,0.9064
7457,0.2307,-0.1570,0.9277,0.0674,0.9198
7477,0.2170,-0.0930,0.9309,0.0366,0.9305
7497,0.1094,0.0193,0.9216,0.0306,0.9287
7517,-0.0032,0.1257,0.9031,0.0657,0.9182
7537,-0.0955,0.1743,0.8977,0.0754,0.9113
7557,-0.1299,0.1416,0.9053,0.0554,0.9117
7577,-0.0652,0.0139,0.8887,0.0255,0.9047
7597,0.0483,-0.1057,0.9028,0.0552,0.9025
7617,0.1812,-0.1714,0.9185,0.0787,0.9096
7637,0.2351,-0.1479,0.9268,0.0641,0.9222
7657,0.2000,-0.0779,0.9241,0.0287,0.9292
7677,0.0798,0.0481,0.9180,0.0406,0.9252
7697,-0.0327,0.1545,0.8953,0.0737,0.9134
7717,-0.1128,0.1084,0.8872,0.0621,0.9047
7737,-0.0386,-0.0295,0.8992,0.0281,0.9024
7757,0.1028,-0.1379,0.9087,0.0574,0.9050
7777,0.2185,-0.1687,0.9180,0.0710,0.9150
7797,0.2275,-0.1194,0.9395,0.0458,0.9304
7817,0.1396,-0.0103,0.9282,0.0224,0.9323
7837,0.0071,0.1213,0.9187,0.0665,0.9251
7857,-0.0977,0.1777,0.9036,0.0801,0.9172
7877,-0.1335,0.1365,0.8984,0.0578,0.9134
7897,-0.0537,-0.0042,0.8962,0.0269,0.9078
7917,0.0828,-0.1318,0.9099,0.0639,0.9072
7937,0.2141,-0.1716,0.9194,0.0802,0.9150
7957,0.2285,-0.1184,0.9380,0.0523,0.9293
7977,0.1357,0.0024,0.9202,0.0234,0.9288
7997,-0.0046,0.1353,0.9041,0.0677,0.9186
8017,-0.1121,0.1853,0.8948,0.0802,0.9110
8037,-0.1055,0.1062,0.8850,0.0423,0.9047
8057,-0.0269,-0.0435,0.8994,0.0352,0.9020
8077,0.1377,-0.1523,0.9053,0.0738,0.9029
8097,0.2329,-0.1602,0.9253,0.0748,0.9157
8117,0.2197,-0.0879,0.9265,0.0400,0.9260
8137,0.0781,0.0620,0.9148,0.0422,0.9220
8157,-0.0605,0.1626,0.9031,0.0780,0.9136
8177,-0.1255,0.1655,0.8870,0.0700,0.9065
8197,-0.0757,0.0242,0.8901,0.0281,0.9016
8217,0.0542,-0.1194,0.9158,0.0571,0.9046
8237,0.2358,-0.1414,0.9360,0.0828,0.9178
8257,0.1729,-0.0269,0.9177,0.0303,0.9216
8277,0.0129,0.1182,0.9185,0.0536,0.9193
8297,-0.1089,0.1851,0.8962,0.0766,0.9125
8317,-0.1167,0.1135,0.8867,0.0444,0.9067
8337,-0.0222,-0.0513,0.8984,0.0388,0.9028
8357,0.1528,-0.1660,0.9111,0.0807,0.9054
8377,0.2439,-0.1604,0.9226,0.0763,0.9171
8397,0.1968,-0.0583,0.9187,0.0307,0.9233
8417,0.0364,0.0962,0.9202,0.0546,0.9203
8437,-0.0952,0.1855,0.9014,0.0837,0.9128
8457,-0.1304,0.1292,0.8962,0.0573,0.9092
8477,-0.0403,-0.0396,0.9053,0.0342,0.9071
8497,0.1450,-0.1643,0.9006,0.0781,0.9052
8517,0.2417,-0.1570,0.9219,0.0754,0.9166
8537,0.2014,-0.0652,0.9204,0.0326,0.9237
8557,0.0374,0.0964,0.9243,0.0550,0.9218
8577,-0.0986,0.1819,0.8960,0.0841,0.9121
8597,-0.1279,0.1201,0.9001,0.0554,0.9097
8617,-0.0315,-0.0481,0.9028,0.0350,0.9066
8637,0.1548,-0.1680,0.9106,0.0791,0.9084
8657,0.2473,-0.1521,0.9260,0.0741,0.9205
8677,0.1763,-0.0427,0.9236,0.0245,0.9260
8697,0.0122,0.1213,0.9187,0.0632,0.9212
8717,-0.1145,0.1838,0.8896,0.0836,0.9106
8737,-0.1106,0.0876,0.8816,0.0437,0.9029
8757,0.0134,-0.0859,0.8975,0.0453,0.8998
8777,0.1897,-0.1772,0.9197,0.0831,0.9081
8797,0.2405,-0.1279,0.9458,0.0632,0.9266
8817,0.0056,0.1216,0.9189,0.0645,0.9215
8837,-0.1201,0.1846,0.8945,0.0837,0.9125
8857,-0.1055,0.0754,0.8835,0.0390,0.9047
8877,0.0310,-0.1025,0.8967,0.0500,0.9010
8897,0.2139,-0.1807,0.9155,0.0866,0.9087
8917,0.2344,-0.1125,0.9324,0.0559,0.9229
8937,0.1006,0.0378,0.9250,0.0320,0.9241
8957,-0.0640,0.1694,0.8982,0.0808,0.9135
8977,-0.1472,0.1543,0.8977,0.0726,0.9095
8997,-0.0505,-0.0273,0.8936,0.0311,0.9041
9017,0.1411,-0.1560,0.9102,0.0750,0.9060
9037,0.2458,-0.1597,0.9275,0.0773,0.9189
9057,0.1836,-0.0352,0.9287,0.0284,0.9265
9077,0.0024,0.1265,0.9116,0.0649,0.9194
9097,-0.1323,0.1855,0.8999,0.0860,0.9126
9117,-0.0964,0.0444,0.8845,0.0360,0.9045
9137,0.0566,-0.1243,0.9126,0.0572,0.9058
9157,0.2285,-0.1765,0.9216,0.0850,0.9150
9177,0.2183,-0.0867,0.9258,0.0449,0.9247
9197,0.0498,0.0857,0.9238,0.0491,0.9230
9217,-0.1055,0.1829,0.8997,0.0858,0.9140
9237,-0.1211,0.1018,0.8879,0.0510,0.9070
9257,0.0190,-0.0916,0.8948,0.0464,0.9020
9277,0.2097,-0.1814,0.9167,0.0866,0.9095
9297,0.2412,-0.1125,0.9285,0.0581,0.9225
9317,0.0833,0.0671,0.9194,0.0408,0.9214
